time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-21T09:04:21.500Z,-20.7688,-178.6928,599.3,4.7,mb,,54,4.301,0.99,us,us200065nk,2016-06-21T10:43:15.132Z,"13km S of Ndoi Island, Fiji",earthquake,7.6,5.6,0.045,149,reviewed,us,us
2016-06-21T08:52:17.000Z,63.5503,-151.1165,6.9,1.2,ml,,,,0.75,ak,ak13671985,2016-06-21T09:32:08.930Z,"109km W of Cantwell, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
2016-06-21T08:38:33.160Z,-5.6622,151.1465,67.25,5,mb,,64,1.778,0.8,us,us200065nh,2016-06-21T08:59:31.102Z,"111km E of Kimbe, Papua New Guinea",earthquake,11.1,7.6,0.056,101,reviewed,us,us
2016-06-21T08:28:50.490Z,33.8591667,-117.056,12.86,1.5,ml,47,22,0.08825,0.19,ci,ci37393935,2016-06-21T13:17:35.420Z,"10km NE of Nuevo, CA",earthquake,0.21,0.61,0.214,26,reviewed,ci,ci
2016-06-21T08:25:24.000Z,62.7501,-149.4883,58.3,1.9,ml,,,,0.87,ak,ak13671981,2016-06-21T08:55:48.282Z,"57km NNE of Talkeetna, Alaska",earthquake,0.2,0.5,,,automatic,ak,ak
2016-06-21T08:02:41.430Z,46.6586667,-112.2658333,-0.66,2.01,ml,24,81,0.1,0.15,mb,mb80156509,2016-06-21T12:48:55.430Z,"13km WNW of Helena West Side, Montana",earthquake,0.32,2.21,0.158,6,reviewed,mb,mb
2016-06-21T08:01:36.540Z,38.8186684,-122.7679977,1.16,1.34,md,11,106,0.01188,0.02,nc,nc72653786,2016-06-21T10:21:04.369Z,"3km W of Cobb, California",earthquake,0.35,0.46,0.02,4,automatic,nc,nc
2016-06-21T07:54:38.880Z,37.8494,-118.2129,1.4,1,ml,16,61.87,0.276,0.143,nn,nn00548762,2016-06-21T16:09:04.185Z,"54km NNE of Dixon Lane-Meadow Creek, California",earthquake,,5.4,0.25,4,reviewed,nn,nn
2016-06-21T07:54:05.960Z,37.6381667,-118.9325,5.18,1.41,md,25,86,0.02643,0.05,nc,nc72653781,2016-06-21T19:06:03.869Z,"3km ESE of Mammoth Lakes, California",earthquake,0.28,0.32,0.382,21,reviewed,nc,nc
2016-06-21T07:51:44.890Z,-31.7891,179.1626,498.2,5.2,mb,,83,3.567,1.24,us,us200065ne,2016-06-21T08:09:32.978Z,"188km WSW of L'Esperance Rock, New Zealand",earthquake,11,8.6,0.086,44,reviewed,us,us
2016-06-21T07:47:41.020Z,19.3823333,-155.2826667,2.202,1.62,ml,23,76,0.004272,0.07,hv,hv61305391,2016-06-21T19:15:47.530Z,"7km SW of Volcano, Hawaii",earthquake,0.16,0.21,0.046,8,reviewed,hv,hv
2016-06-21T07:39:19.200Z,18.7714,-64.9412,26,2.1,Md,3,302.4,0.41771661,0.1,pr,pr16173004,2016-06-21T11:36:57.299Z,"47km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.4,9,0,3,reviewed,pr,pr
2016-06-21T07:16:22.000Z,62.092,-149.14,21.9,1.8,ml,,,,0.8,ak,ak13671565,2016-06-21T07:50:11.700Z,"36km NNW of Sutton-Alpine, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-06-21T07:11:51.827Z,38.3476,-118.5692,9.5,1.1,ml,18,74.37,0.109,0.0966,nn,nn00548759,2016-06-21T15:47:20.213Z,"20km SSE of Hawthorne, Nevada",earthquake,,1.6,0.17,3,reviewed,nn,nn
2016-06-21T07:07:33.780Z,35.8706,-97.2357,4.07,2.5,mb_lg,,28,0.192,0.53,us,us200065nc,2016-06-21T07:27:31.537Z,"8km SSE of Langston, Oklahoma",earthquake,1.3,6.2,0.083,38,reviewed,us,us
2016-06-21T07:03:38.300Z,19.2479,-64.7417,24,2.4,Md,3,331.2,0.91179001,0.12,pr,pr16173003,2016-06-21T08:29:52.307Z,"92km N of Road Town, British Virgin Islands",earthquake,1.9,13.8,0,2,reviewed,pr,pr
2016-06-21T07:01:57.410Z,37.901001,-121.9791641,8.39,1.41,md,14,72,0.04342,0.05,nc,nc72653766,2016-06-21T09:29:03.215Z,"5km SW of Clayton, California",earthquake,0.41,0.68,0.17,11,automatic,nc,nc
2016-06-21T06:58:45.330Z,37.5375,-118.8691667,7.58,1.13,md,28,98,0.06134,0.05,nc,nc72653761,2016-06-21T19:18:02.893Z,"15km SE of Mammoth Lakes, California",earthquake,0.23,0.61,0.253,22,reviewed,nc,nc
2016-06-21T06:52:24.000Z,61.4926,-149.9769,37.8,1.3,ml,,,,0.35,ak,ak13671564,2016-06-21T07:50:09.258Z,"3km SSW of Big Lake, Alaska",earthquake,0.9,1.3,,,automatic,ak,ak
2016-06-21T06:42:01.000Z,61.0454,-148.436,0,1.7,ml,,,,0.77,ak,ak13671562,2016-06-21T07:15:10.813Z,"33km NNE of Whittier, Alaska",earthquake,0.8,0.4,,,automatic,ak,ak
2016-06-21T06:20:13.000Z,58.0351,-153.6593,57.2,2.8,ml,,,,0.53,ak,ak13671554,2016-06-21T07:16:22.305Z,"58km NNE of Larsen Bay, Alaska",earthquake,0.4,1.1,,,automatic,ak,ak
2016-06-21T06:12:13.300Z,38.1379,-117.8292,6.6,1.3,ml,17,46.7,0.311,0.1011,nn,nn00548755,2016-06-21T15:40:56.167Z,"53km W of Tonopah, Nevada",earthquake,,4.2,0.11,3,reviewed,nn,nn
2016-06-21T06:06:33.628Z,39.5678,-119.0879,3.3,1.1,ml,14,122.87,0.27,0.1051,nn,nn00548754,2016-06-21T15:31:09.107Z,"14km ESE of Fernley, Nevada",earthquake,,6.4,0.12,7,reviewed,nn,nn
2016-06-21T05:49:46.560Z,27.9463,85.5702,10,3.6,mb,,226,0.324,1.26,us,us200065q8,2016-06-21T12:57:10.784Z,"26km N of Nagarkot, Nepal",earthquake,10.9,2,0.289,3,reviewed,us,us
2016-06-21T05:33:36.000Z,61.6216,-151.2698,0,1.9,ml,,,,0.71,ak,ak13671550,2016-06-21T06:03:00.250Z,"66km WSW of Willow, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-06-21T05:21:55.200Z,17.9901,-66.555,5,1.9,Md,8,190.8,0.07096691,0.2,pr,pr16173002,2016-06-21T08:28:57.111Z,"4km SSW of Aguilita, Puerto Rico",earthquake,0.7,0.5,0,5,reviewed,pr,pr
2016-06-21T04:55:52.920Z,19.4263333,-155.6255,3.722,1.88,ml,14,145,0.02355,0.07,hv,hv61305256,2016-06-21T18:51:27.800Z,"25km E of Honaunau-Napoopoo, Hawaii",earthquake,0.43,0.64,0.133,5,reviewed,hv,hv
2016-06-21T04:53:17.960Z,-6.3098,130.3333,139.57,5.2,mb,,47,3.871,0.91,us,us200065n7,2016-06-21T05:09:56.754Z,"211km NNW of Saumlaki, Indonesia",earthquake,8.1,6.9,0.068,71,reviewed,us,us
2016-06-21T04:36:08.580Z,37.5033333,-118.6555,10.69,1.6,md,28,63,0.0549,0.04,nc,nc72653731,2016-06-21T19:29:03.918Z,"23km NW of West Bishop, California",earthquake,0.27,0.7,0.238,26,reviewed,nc,nc
2016-06-21T04:20:58.000Z,63.5216,-151.1213,7.5,1.7,ml,,,,0.7,ak,ak13671131,2016-06-21T04:53:51.443Z,"109km W of Cantwell, Alaska",earthquake,0.5,0.3,,,automatic,ak,ak
2016-06-21T04:18:56.500Z,19.124,-64.902,44,2.6,Md,15,270,0.75368652,0.2,pr,pr16173000,2016-06-21T04:50:47.201Z,"83km NNW of Road Town, British Virgin Islands",earthquake,3.2,8.6,0,8,reviewed,pr,pr
2016-06-21T04:16:56.100Z,17.9857,-66.5621,5,2.5,Md,20,108,0.07006859,0.25,pr,pr16173001,2016-06-21T05:16:57.074Z,"5km SW of Aguilita, Puerto Rico",earthquake,0.3,0.4,0,19,reviewed,pr,pr
2016-06-21T04:15:49.000Z,60.6379,-150.4889,51.3,1.8,ml,,,,0.36,ak,ak13671128,2016-06-21T04:53:48.559Z,"18km NE of Sterling, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-06-21T04:01:56.000Z,58.6707,-154.0442,100,2.3,ml,,,,0.56,ak,ak13671125,2016-06-21T04:53:47.929Z,"125km N of Larsen Bay, Alaska",earthquake,0.6,0.9,,,automatic,ak,ak
2016-06-21T03:59:35.900Z,34.0741667,-117.2648333,14.01,1.09,ml,50,44,0.04703,0.14,ci,ci37393767,2016-06-21T19:00:19.068Z,"3km N of Loma Linda, CA",earthquake,0.17,0.37,0.115,28,reviewed,ci,ci
2016-06-21T03:46:08.880Z,46.6588333,-112.2706667,1,2.85,ml,26,81,0.098,0.2,mb,mb80156494,2016-06-21T12:14:40.477Z,"13km WNW of Helena West Side, Montana",earthquake,0.33,0.8,0.206,13,reviewed,mb,mb
2016-06-21T03:22:52.000Z,63.5391,-147.3065,0.1,1.3,ml,,,,0.62,ak,ak13670710,2016-06-21T04:19:00.587Z,"83km ENE of Cantwell, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
2016-06-21T03:22:10.470Z,34.0735,-117.2758333,15.94,2.08,ml,100,24,0.03914,0.16,ci,ci37393751,2016-06-21T18:53:31.122Z,"3km NNW of Loma Linda, CA",earthquake,0.12,0.28,0.145,105,reviewed,ci,ci
2016-06-21T03:21:25.740Z,33.1066667,-115.8783333,9.21,1.67,ml,38,54,0.04769,0.29,ci,ci37393743,2016-06-21T13:19:49.240Z,"22km SSE of Salton City, CA",earthquake,0.35,1.37,0.2,28,reviewed,ci,ci
2016-06-21T03:19:19.000Z,65.9394,-147.0461,1.5,1.1,ml,,,,0.61,ak,ak13670708,2016-06-21T03:44:22.957Z,"105km SW of Fort Yukon, Alaska",earthquake,1.2,0.9,,,automatic,ak,ak
2016-06-21T02:41:43.330Z,44.0996667,-121.3466667,-1.46,1.98,ml,16,156,0.03563,0.23,uw,uw61171236,2016-06-21T17:05:37.680Z,"5km NNW of Bend, Oregon",explosion,0.69,31.61,0.158,29,reviewed,uw,uw
2016-06-21T02:11:34.000Z,61.443,-151.0296,58,3.2,ml,,,,0.57,ak,ak13670692,2016-06-21T02:37:41.259Z,"57km W of Big Lake, Alaska",earthquake,0.2,0.5,,,automatic,ak,ak
2016-06-21T01:38:22.000Z,62.231,-149.5123,55.2,1.5,ml,,,,0.22,ak,ak13670282,2016-06-21T02:03:07.400Z,"19km ENE of Y, Alaska",earthquake,0.4,1.3,,,automatic,ak,ak
2016-06-21T01:30:23.000Z,60.8851,-150.8646,30.5,1.7,ml,,,,0.57,ak,ak13670280,2016-06-21T02:03:06.673Z,"31km NE of Nikiski, Alaska",earthquake,0.5,0.4,,,automatic,ak,ak
2016-06-21T00:53:22.880Z,44.7426667,-111.7528333,10.9,1.46,ml,14,70,0.063,0.14,mb,mb80156474,2016-06-21T13:44:54.280Z,"52km W of West Yellowstone, Montana",earthquake,0.45,0.56,0.097,8,reviewed,mb,mb
2016-06-21T00:43:36.740Z,33.9506667,-117.2325,10.37,2.2,ml,102,20,0.04975,0.15,ci,ci37393647,2016-06-21T18:31:51.135Z,"3km N of Moreno Valley, CA",earthquake,0.1,0.2,0.158,122,reviewed,ci,ci
2016-06-21T00:14:55.340Z,34.07,-118.422,10.04,1.13,ml,12,88,0.04533,0.26,ci,ci37393639,2016-06-21T17:28:59.870Z,"1km NNW of Century City, CA",earthquake,0.68,0.81,0.347,6,reviewed,ci,ci
2016-06-21T00:10:30.740Z,36.4519,-98.735,5,2.9,mb_lg,,81,0.02,0.63,us,us200065m9,2016-06-21T00:29:48.538Z,"30km NW of Fairview, Oklahoma",earthquake,1.2,1.8,0.061,69,reviewed,us,us
2016-06-21T00:04:44.630Z,36.0406667,-117.363,2.3,2.52,ml,30,58,0.1036,0.16,ci,ci37393631,2016-06-21T17:13:21.680Z,"31km N of Searles Valley, CA",earthquake,0.2,0.43,0.114,75,reviewed,ci,ci
2016-06-20T23:58:30.120Z,44.771,-111.7288333,10.74,1.64,ml,23,70,0.061,0.13,mb,mb80156454,2016-06-21T13:18:22.890Z,"50km WNW of West Yellowstone, Montana",earthquake,0.44,0.32,0.148,8,reviewed,mb,mb
2016-06-20T23:30:05.630Z,44.7428333,-111.7491667,11.86,1.88,ml,25,96,0.061,0.15,mb,mb80156449,2016-06-21T13:03:41.340Z,"51km W of West Yellowstone, Montana",earthquake,0.31,0.39,0.1,9,reviewed,mb,mb
2016-06-20T23:27:23.550Z,-17.2388,168.4476,216.5,4.7,mb,,80,3.7,1.12,us,us200065m1,2016-06-21T00:38:02.511Z,"56km NNE of Port-Vila, Vanuatu",earthquake,11,8.5,0.093,35,reviewed,us,us
2016-06-20T23:24:38.390Z,36.0181667,-117.804,0.87,1.6,ml,17,103,0.03218,0.15,ci,ci37393599,2016-06-21T13:20:33.611Z,"13km NE of Little Lake, CA",earthquake,0.27,0.32,0.172,25,reviewed,ci,ci
2016-06-20T23:02:19.000Z,64.968,-147.3769,4.5,1,ml,,,,0.86,ak,ak13669867,2016-06-20T23:52:15.615Z,"20km NNE of Badger, Alaska",earthquake,0.2,0.9,,,automatic,ak,ak
2016-06-20T22:56:41.353Z,39.601,-119.0644,12.2,1.3,ml,5,170.74,0.271,0.1446,nn,nn00548744,2016-06-20T23:52:26.404Z,"16km E of Fernley, Nevada",earthquake,,7.6,0.27,4,reviewed,nn,nn
2016-06-20T22:49:14.000Z,39.336,-122.7893333,12.95,1.57,md,6,246,0.1463,0.03,nc,nc72653631,2016-06-21T03:19:03.457Z,"21km NNE of Upper Lake, California",earthquake,1.04,2.13,0.242,5,reviewed,nc,nc
2016-06-20T22:45:49.380Z,32.5345,-115.281,21.36,1.85,ml,16,193,0.1687,0.24,ci,ci37393591,2016-06-21T17:03:32.855Z,"8km ESE of Puebla, B.C., MX",earthquake,0.72,0.98,0.198,18,reviewed,ci,ci
